BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
3.735303702663308,4.5685062016165,0.0,4.5685062016165,0.166667,0.0,0.083333,1.0986122886681098,6.90875477931522,5.312230547798351,4.945277144710759
8.07198906965229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.853808274977197,8.319725329557853,6.978530763203816
7.82250436793527,6.651791487715673,6.651791487715673,0.0,1.0,0.6061353490247577,0.0,2.5649493574615367,8.922791623969637,6.434653643065494,6.442993546160168
6.70773522569534,2.833213344056216,2.833213344056216,0.0,0.083333,0.08004239998118148,0.0,0.6931471805599453,7.0909098220799835,6.521114029626576,5.5044825455607045
7.5015398929484585,7.1961470995031585,0.0,7.099506197615132,0.666667,0.0,0.583333,2.1972245773362196,7.496097345175956,7.244982780319138,7.501632160048084
6.442955376434953,7.937695626802405,7.312386706341724,6.535792642927974,1.0,0.6061353490247577,1.0,3.7954891891721947,9.510519035757246,8.354913379298212,5.293635895542641
7.509144970103254,6.080390756302384,0.0,6.080390756302384,1.0,0.0,1.0,2.5649493574615367,7.741099090035366,6.522188502413885,6.278585193239496
6.92355625642517,6.759823554635403,6.496005463406834,5.303304908059076,0.333333,0.08004239998118148,0.25,1.791759469228055,8.853808274977197,6.535645496995635,5.7460862795529755
5.031913792542936,7.156644546714762,7.156644546714762,0.0,0.166667,0.15415096554150312,0.0,1.3862943611198906,9.305741456739435,7.06113759883932,4.618108740719055
7.16559002295018,6.8255903209275,0.0,6.8255903209275,1.0,0.0,1.0,2.5649493574615367,7.0909098220799835,6.988690825187471,7.501632160048084
6.448564569245062,7.308663352897687,7.308663352897687,0.0,0.25,0.22314355131420976,0.0,1.9459101490553132,7.601402334583733,6.560491096026781,5.053369500772936
7.325101934452095,7.937695626802405,7.312386706341724,6.577527505058253,1.0,0.22314355131420976,0.916667,3.295836866004329,8.006700845440367,6.412251160861846,6.196865654011144
6.827296968040859,7.668060982974215,6.042537817291983,7.099506197615132,0.75,0.15415096554150312,0.75,3.295836866004329,8.922791623969637,7.412698496269839,5.5299765011453
7.927963670337596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006700845440367,6.692887357486858,6.898677062386753
8.52552773223695,7.38566507198647,0.0,7.099506197615132,0.5,0.0,0.5,2.4849066497880004,8.987321812850125,7.598118225657629,7.501632160048084
7.636787979616954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006700845440367,5.973744882038962,5.933781489490081
3.739798042057795,6.253828811575473,0.0,6.253828811575473,0.416667,0.0,0.333333,2.1972245773362196,7.824445930877619,5.543577188189688,4.306807558934665
7.59592621253726,6.225251258520672,5.117993812416755,5.827032023149767,0.666667,0.08004239998118148,0.583333,2.302585092994046,9.472781556562168,7.451147239761315,6.614207228607001
8.182830589190715,5.990564141864818,0.0,5.990564141864818,1.0,0.0,1.0,2.5649493574615367,8.294299608857235,6.96127752820317,7.501632160048084
7.609705937961825,5.179984179586172,0.0,5.179984179586172,0.666667,0.0,0.666667,2.1972245773362196,7.601402334583733,5.411952254970081,7.501632160048084
8.52552773223695,7.937695626802405,7.312386706341724,6.111267763047603,1.0,0.6061353490247577,1.0,3.7954891891721947,9.328212292571072,7.639622591175338,7.415039685031398
4.892919056208852,6.705516688347823,0.0,6.705516688347823,1.0,0.0,1.0,2.8903717578961645,7.496097345175956,7.766683793755752,4.469688939347446
8.24305929376845,7.937695626802405,7.312386706341724,6.67807792881693,1.0,0.08004239998118148,0.916667,2.6390573296152584,9.105090961257085,8.354913379298212,7.262927662141595
8.52552773223695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699681400989514,7.261033154311494,7.413369070916895
5.140386009793119,5.992963423231718,0.0,5.992963423231718,1.0,0.0,1.0,2.5649493574615367,8.006700845440367,5.3766947283025095,5.099900183352035
